record_type,ext_id,name,description,project_ext_id,summary_ext_id,predecessor_ext_id,successor_ext_id,task_ext_id,resource_ext_id,start_date,end_date,status,saved_date,duration,work,percent_complete,priority,is_critical,dep_type,lag,code,cost_per_hour,max_units,email,role,skills,unit,consumption_rate,fixed_cost,units,actual_work,cost,working_days,working_hours
HUMAN_RESOURCE,RH023,Engineer #23,,,,,,,,,,,,,,,,,,,RH023,49.35,1.0,user23@company.com,Tech Lead,Python;Django;PostgreSQL;AWS;Kubernetes,,,,,,,,
HUMAN_RESOURCE,RH024,Engineer #24,,,,,,,,,,,,,,,,,,,RH024,96.2,1.0,user24@company.com,Architect,PostgreSQL;Spring,,,,,,,,
HUMAN_RESOURCE,RH025,Engineer #25,,,,,,,,,,,,,,,,,,,RH025,49.84,1.0,user25@company.com,Architect,JavaScript;Docker;FastAPI,,,,,,,,
HUMAN_RESOURCE,RH026,Engineer #26,,,,,,,,,,,,,,,,,,,RH026,36.15,1.0,user26@company.com,Architect,Linux;Docker,,,,,,,,
HUMAN_RESOURCE,RH027,Engineer #27,,,,,,,,,,,,,,,,,,,RH027,68.86,1.0,user27@company.com,Senior Developer,Redis;PostgreSQL;FastAPI;AWS,,,,,,,,
HUMAN_RESOURCE,RH028,Engineer #28,,,,,,,,,,,,,,,,,,,RH028,43.95,1.0,user28@company.com,QA Engineer,Java;Django,,,,,,,,
HUMAN_RESOURCE,RH029,Engineer #29,,,,,,,,,,,,,,,,,,,RH029,68.6,1.0,user29@company.com,Senior Developer,JavaScript;Spring;TypeScript,,,,,,,,
HUMAN_RESOURCE,RH030,Engineer #30,,,,,,,,,,,,,,,,,,,RH030,114.68,1.0,user30@company.com,Tech Lead,Kubernetes;PostgreSQL;Linux;React,,,,,,,,
HUMAN_RESOURCE,RH031,Engineer #31,,,,,,,,,,,,,,,,,,,RH031,116.44,1.0,user31@company.com,Architect,Django;AWS;React,,,,,,,,
HUMAN_RESOURCE,RH032,Engineer #32,,,,,,,,,,,,,,,,,,,RH032,119.51,1.0,user32@company.com,Product Manager,Redis;Kubernetes;TypeScript;Java;SQL,,,,,,,,
HUMAN_RESOURCE,RH033,Engineer #33,,,,,,,,,,,,,,,,,,,RH033,42.47,1.0,user33@company.com,Product Manager,Linux;Kubernetes,,,,,,,,
HUMAN_RESOURCE,RH034,Engineer #34,,,,,,,,,,,,,,,,,,,RH034,43.01,1.0,user34@company.com,QA Engineer,Java;Django,,,,,,,,
HUMAN_RESOURCE,RH035,Engineer #35,,,,,,,,,,,,,,,,,,,RH035,83.11,1.0,user35@company.com,QA Engineer,Redis;Python,,,,,,,,
HUMAN_RESOURCE,RH036,Engineer #36,,,,,,,,,,,,,,,,,,,RH036,105.96,1.0,user36@company.com,Senior Developer,AWS;Spring;TypeScript,,,,,,,,
HUMAN_RESOURCE,RH037,Engineer #37,,,,,,,,,,,,,,,,,,,RH037,41.42,1.0,user37@company.com,Tech Lead,SQL;FastAPI;TypeScript;React;Redis,,,,,,,,
HUMAN_RESOURCE,RH038,Engineer #38,,,,,,,,,,,,,,,,,,,RH038,29.43,1.0,user38@company.com,Business Analyst,React;Redis;TypeScript;Django,,,,,,,,
HUMAN_RESOURCE,RH039,Engineer #39,,,,,,,,,,,,,,,,,,,RH039,25.42,1.0,user39@company.com,Senior Developer,React;Django,,,,,,,,
HUMAN_RESOURCE,RH040,Engineer #40,,,,,,,,,,,,,,,,,,,RH040,53.93,1.0,user40@company.com,Senior Developer,SQL;Redis;Kubernetes,,,,,,,,
MATERIAL_RESOURCE,RM001,Build Minutes #1,,,,,,,,,,,,,,,,,,,RM001,1.49,191.7,,,,GB-month,1.32,,,,,,
MATERIAL_RESOURCE,RM002,Cloud Compute Hours #2,,,,,,,,,,,,,,,,,,,RM002,4.49,862.7,,,,seat,0.58,,,,,,
MATERIAL_RESOURCE,RM003,Test Devices #3,,,,,,,,,,,,,,,,,,,RM003,9.99,837.7,,,,hours,4.64,,,,,,
MATERIAL_RESOURCE,RM004,Storage #4,,,,,,,,,,,,,,,,,,,RM004,1.75,490.8,,,,license,4.34,,,,,,
MATERIAL_RESOURCE,RM005,Cloud Compute Hours #5,,,,,,,,,,,,,,,,,,,RM005,1.73,12.1,,,,GB-month,1.4,,,,,,
MATERIAL_RESOURCE,RM006,Build Minutes #6,,,,,,,,,,,,,,,,,,,RM006,2.92,699.6,,,,seat,3.34,,,,,,
MATERIAL_RESOURCE,RM007,Build Minutes #7,,,,,,,,,,,,,,,,,,,RM007,1.63,303.7,,,,hours,2.94,,,,,,
MATERIAL_RESOURCE,RM008,Bandwidth #8,,,,,,,,,,,,,,,,,,,RM008,0.7,320.5,,,,hours,2.96,,,,,,
MATERIAL_RESOURCE,RM009,Bandwidth #9,,,,,,,,,,,,,,,,,,,RM009,9.2,535.8,,,,hours,4.81,,,,,,
MATERIAL_RESOURCE,RM010,Cloud Compute Hours #10,,,,,,,,,,,,,,,,,,,RM010,8.53,77.8,,,,hours,3.41,,,,,,
MATERIAL_RESOURCE,RM011,Storage #11,,,,,,,,,,,,,,,,,,,RM011,4.1,942.2,,,,seat,1.31,,,,,,
MATERIAL_RESOURCE,RM012,Bandwidth #12,,,,,,,,,,,,,,,,,,,RM012,0.49,91.2,,,,seat,2.87,,,,,,
MATERIAL_RESOURCE,RM013,License Pool #13,,,,,,,,,,,,,,,,,,,RM013,9.35,212.2,,,,server-month,1.27,,,,,,
MATERIAL_RESOURCE,RM014,Build Minutes #14,,,,,,,,,,,,,,,,,,,RM014,1.4,649.0,,,,GB-month,1.65,,,,,,
MATERIAL_RESOURCE,RM015,Cloud Compute Hours #15,,,,,,,,,,,,,,,,,,,RM015,0.19,624.9,,,,seat,4.98,,,,,,
COST_RESOURCE,RC001,Travel Budget #1,,,,,,,,,,,,,,,,,,,RC001,0,1.0,,,,,,27344.09,,,,,
COST_RESOURCE,RC002,Consulting Fee #2,,,,,,,,,,,,,,,,,,,RC002,0,1.0,,,,,,13994.82,,,,,
COST_RESOURCE,RC003,External Audit #3,,,,,,,,,,,,,,,,,,,RC003,0,1.0,,,,,,44162.34,,,,,
COST_RESOURCE,RC004,Software License #4,,,,,,,,,,,,,,,,,,,RC004,0,1.0,,,,,,19106.83,,,,,
COST_RESOURCE,RC005,Software License #5,,,,,,,,,,,,,,,,,,,RC005,0,1.0,,,,,,22471.04,,,,,
COST_RESOURCE,RC006,Consulting Fee #6,,,,,,,,,,,,,,,,,,,RC006,0,1.0,,,,,,35473.46,,,,,
COST_RESOURCE,RC007,Consulting Fee #7,,,,,,,,,,,,,,,,,,,RC007,0,1.0,,,,,,49208.81,,,,,
COST_RESOURCE,RC008,Consulting Fee #8,,,,,,,,,,,,,,,,,,,RC008,0,1.0,,,,,,1383.33,,,,,
COST_RESOURCE,RC009,Consulting Fee #9,,,,,,,,,,,,,,,,,,,RC009,0,1.0,,,,,,15669.56,,,,,
COST_RESOURCE,RC010,Travel Budget #10,,,,,,,,,,,,,,,,,,,RC010,0,1.0,,,,,,47007.57,,,,,
PROJECT,PR001,Data Warehouse v1,Description of Data Warehouse v1,,,,,,,2024-03-09,2024-09-20,NOT_STARTED,,,,,,,,,,,,,,,,,,,,,,
CALENDAR,CAL001,,,PR001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MON;TUE;WED;THU;FRI,09:00-18:00
BASELINE,BL001_1,,,PR001,,,,,,,,,2024-04-20,,,,,,,,,,,,,,,,,,,,,
BASELINE,BL001_2,,,PR001,,,,,,,,,2024-03-25,,,,,,,,,,,,,,,,,,,,,
BASELINE,BL001_3,,,PR001,,,,,,,,,2024-04-02,,,,,,,,,,,,,,,,,,,,,
SUMMARY_TASK,T001_S1,Phase 1,,PR001,,,,,,,,IN_PROGRESS,,0,,,500,,,,,,,,,,,,,,,,,
SUMMARY_TASK,T001_S2,Phase 2,,PR001,,,,,,,,IN_PROGRESS,,0,,,500,,,,,,,,,,,,,,,,,
TASK,T001_R1,Deploy notification system,,PR001,,,,,,2024-03-29,,ON_HOLD,,7,183,0.85,900,true,,,,,,,,,,,,,,,,
TASK,T001_R2,Implement deployment scripts,,PR001,T001_S1,,,,,2024-03-10,,COMPLETED,,27,78,0.0,300,true,,,,,,,,,,,,,,,,
TASK,T001_R3,Integrate API,,PR001,T001_S2,,,,,2024-04-08,,NOT_STARTED,,4,27,0.88,300,false,,,,,,,,,,,,,,,,
TASK,T001_R4,Refactor auth flow,,PR001,T001_S1,,,,,2024-03-20,,COMPLETED,,2,86,0.9,100,true,,,,,,,,,,,,,,,,
TASK,T001_R5,Implement analytics pipeline,,PR001,,,,,,2024-04-06,,IN_PROGRESS,,25,151,0.87,900,false,,,,,,,,,,,,,,,,
TASK,T001_R6,Test payment module,,PR001,,,,,,2024-03-09,,ON_HOLD,,29,113,0.18,500,false,,,,,,,,,,,,,,,,
TASK,T001_R7,Document payment module,,PR001,T001_S1,,,,,2024-03-12,,ON_HOLD,,26,187,0.38,100,true,,,,,,,,,,,,,,,,
TASK,T001_R8,Review reporting service,,PR001,T001_S2,,,,,2024-04-05,,IN_PROGRESS,,27,211,0.23,100,false,,,,,,,,,,,,,,,,
MILESTONE,T001_M1,GA Launch,,PR001,,,,,,,,,,0,,,500,true,,,,,,,,,,,,,,,,
MILESTONE,T001_M2,Design Approved,,PR001,,,,,,,,,,0,,,500,true,,,,,,,,,,,,,,,,
DEPENDENCY,D001_1,,,,,T001_R6,T001_M1,,,,,,,,,,,,SF,5,,,,,,,,,,,,,,
DEPENDENCY,D001_2,,,,,T001_M1,T001_R6,,,,,,,,,,,,FS,0,,,,,,,,,,,,,,
DEPENDENCY,D001_3,,,,,T001_R5,T001_R3,,,,,,,,,,,,FF,0,,,,,,,,,,,,,,
DEPENDENCY,D001_4,,,,,T001_R2,T001_R7,,,,,,,,,,,,FF,5,,,,,,,,,,,,,,
DEPENDENCY,D001_5,,,,,T001_R6,T001_R7,,,,,,,,,,,,FS,3,,,,,,,,,,,,,,
DEPENDENCY,D001_6,,,,,T001_M2,T001_R4,,,,,,,,,,,,FF,0,,,,,,,,,,,,,,
ASSIGNMENT,A001_1,,,,,,,T001_R7,RH001,,,,,,76,,,,,,,,,,,,,,,0.64,43,3625.21,,
ASSIGNMENT,A001_2,,,,,,,T001_R4,RM007,,,,,,50,,,,,,,,,,,,,,,0.57,39,1638.19,,
ASSIGNMENT,A001_3,,,,,,,T001_R2,RH039,,,,,,60,,,,,,,,,,,,,,,0.63,20,2071.76,,
ASSIGNMENT,A001_4,,,,,,,T001_R5,RH017,,,,,,56,,,,,,,,,,,,,,,0.39,43,3765.86,,
ASSIGNMENT,A001_5,,,,,,,T001_R3,RH039,,,,,,8,,,,,,,,,,,,,,,0.55,19,1505.88,,
ASSIGNMENT,A001_6,,,,,,,T001_R7,RM002,,,,,,64,,,,,,,,,,,,,,,0.6,43,1147.14,,
ASSIGNMENT,A001_7,,,,,,,T001_R8,RH022,,,,,,44,,,,,,,,,,,,,,,0.74,32,3352.88,,
ASSIGNMENT,A001_8,,,,,,,T001_M2,RM003,,,,,,38,,,,,,,,,,,,,,,0.32,43,1621.06,,
ASSIGNMENT,A001_9,,,,,,,T001_R4,RH019,,,,,,39,,,,,,,,,,,,,,,0.27,30,3095.24,,
ASSIGNMENT,A001_10,,,,,,,T001_R2,RC004,,,,,,32,,,,,,,,,,,,,,,0.56,45,3512.14,,
ASSIGNMENT,A001_11,,,,,,,T001_R8,RM012,,,,,,8,,,,,,,,,,,,,,,0.43,57,3779.73,,
ASSIGNMENT,A001_12,,,,,,,T001_R2,RM015,,,,,,74,,,,,,,,,,,,,,,0.41,29,346.07,,
ASSIGNMENT,A001_13,,,,,,,T001_R4,RH016,,,,,,67,,,,,,,,,,,,,,,0.59,42,2702.55,,
PROJECT,PR002,Analytics Dashboard v2,Description of Analytics Dashboard v2,,,,,,,2024-10-13,2025-10-12,ON_HOLD,,,,,,,,,,,,,,,,,,,,,,
CALENDAR,CAL002,,,PR002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MON;TUE;WED;THU;FRI,09:00-18:00
BASELINE,BL002_1,,,PR002,,,,,,,,,2024-12-11,,,,,,,,,,,,,,,,,,,,,
BASELINE,BL002_2,,,PR002,,,,,,,,,2024-12-05,,,,,,,,,,,,,,,,,,,,,
BASELINE,BL002_3,,,PR002,,,,,,,,,2024-11-21,,,,,,,,,,,,,,,,,,,,,
SUMMARY_TASK,T002_S1,Phase 1,,PR002,,,,,,,,IN_PROGRESS,,0,,,500,,,,,,,,,,,,,,,,,
SUMMARY_TASK,T002_S2,Phase 2,,PR002,,,,,,,,IN_PROGRESS,,0,,,500,,,,,,,,,,,,,,,,,
TASK,T002_R1,Prototype payment module,,PR002,T002_S2,,,,,2024-10-28,,COMPLETED,,24,228,0.45,300,false,,,,,,,,,,,,,,,,
TASK,T002_R2,Document monitoring,,PR002,T002_S1,,,,,2024-10-22,,COMPLETED,,3,190,0.23,500,false,,,,,,,,,,,,,,,,
TASK,T002_R3,Test search index,,PR002,,,,,,2024-10-17,,ON_HOLD,,13,185,0.71,100,false,,,,,,,,,,,,,,,,
TASK,T002_R4,Design user management,,PR002,T002_S2,,,,,2024-10-25,,NOT_STARTED,,27,115,0.9,900,false,,,,,,,,,,,,,,,,
TASK,T002_R5,Optimize API,,PR002,T002_S2,,,,,2024-11-06,,IN_PROGRESS,,12,84,0.39,700,false,,,,,,,,,,,,,,,,
TASK,T002_R6,Optimize API,,PR002,,,,,,2024-11-03,,IN_PROGRESS,,13,94,0.68,700,false,,,,,,,,,,,,,,,,
TASK,T002_R7,Prototype CI/CD pipeline,,PR002,T002_S1,,,,,2024-11-03,,IN_PROGRESS,,19,152,0.03,700,false,,,,,,,,,,,,,,,,
TASK,T002_R8,Document CI/CD pipeline,,PR002,,,,,,2024-10-27,,COMPLETED,,11,62,0.33,700,false,,,,,,,,,,,,,,,,
MILESTONE,T002_M1,Stakeholder Sign-off,,PR002,,,,,,,,,,0,,,500,true,,,,,,,,,,,,,,,,
MILESTONE,T002_M2,GA Launch,,PR002,,,,,,,,,,0,,,500,true,,,,,,,,,,,,,,,,
DEPENDENCY,D002_1,,,,,T002_R8,T002_R1,,,,,,,,,,,,FS,2,,,,,,,,,,,,,,
DEPENDENCY,D002_2,,,,,T002_R4,T002_R2,,,,,,,,,,,,FS,0,,,,,,,,,,,,,,
DEPENDENCY,D002_3,,,,,T002_R4,T002_M2,,,,,,,,,,,,FS,4,,,,,,,,,,,,,,
DEPENDENCY,D002_4,,,,,T002_R3,T002_R4,,,,,,,,,,,,SS,3,,,,,,,,,,,,,,
ASSIGNMENT,A002_1,,,,,,,T002_R2,RH028,,,,,,40,,,,,,,,,,,,,,,0.6,49,1907.59,,
ASSIGNMENT,A002_2,,,,,,,T002_M2,RH015,,,,,,28,,,,,,,,,,,,,,,0.83,19,629.68,,
ASSIGNMENT,A002_3,,,,,,,T002_R1,RH040,,,,,,56,,,,,,,,,,,,,,,0.68,25,4713.21,,
ASSIGNMENT,A002_4,,,,,,,T002_R4,RH010,,,,,,39,,,,,,,,,,,,,,,0.69,6,3516.25,,
ASSIGNMENT,A002_5,,,,,,,T002_R5,RH016,,,,,,80,,,,,,,,,,,,,,,0.85,50,301.24,,
ASSIGNMENT,A002_6,,,,,,,T002_M1,RM015,,,,,,16,,,,,,,,,,,,,,,0.75,32,3272.96,,
ASSIGNMENT,A002_7,,,,,,,T002_R1,RM014,,,,,,21,,,,,,,,,,,,,,,0.87,27,4807.86,,
ASSIGNMENT,A002_8,,,,,,,T002_R8,RH020,,,,,,74,,,,,,,,,,,,,,,0.58,41,1423.4,,
ASSIGNMENT,A002_9,,,,,,,T002_M1,RC007,,,,,,42,,,,,,,,,,,,,,,0.6,20,4273.39,,
ASSIGNMENT,A002_10,,,,,,,T002_R2,RH036,,,,,,39,,,,,,,,,,,,,,,0.91,48,2377.07,,
ASSIGNMENT,A002_11,,,,,,,T002_M2,RM009,,,,,,71,,,,,,,,,,,,,,,0.5,54,1692.57,,
ASSIGNMENT,A002_12,,,,,,,T002_R8,RH028,,,,,,41,,,,,,,,,,,,,,,0.52,21,1470.33,,
ASSIGNMENT,A002_13,,,,,,,T002_M2,RH036,,,,,,74,,,,,,,,,,,,,,,0.67,60,1036.18,,
PROJECT,PR003,Logistics Network v3,Description of Logistics Network v3,,,,,,,2024-05-03,2025-01-26,IN_PROGRESS,,,,,,,,,,,,,,,,,,,,,,
CALENDAR,CAL003,,,PR003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MON;TUE;WED;THU;FRI,09:00-18:00
BASELINE,BL003_1,,,PR003,,,,,,,,,2024-06-09,,,,,,,,,,,,,,,,,,,,,
BASELINE,BL003_2,,,PR003,,,,,,,,,2024-06-20,,,,,,,,,,,,,,,,,,,,,
BASELINE,BL003_3,,,PR003,,,,,,,,,2024-06-24,,,,,,,,,,,,,,,,,,,,,
SUMMARY_TASK,T003_S1,Phase 1,,PR003,,,,,,,,IN_PROGRESS,,0,,,500,,,,,,,,,,,,,,,,,
SUMMARY_TASK,T003_S2,Phase 2,,PR003,,,,,,,,IN_PROGRESS,,0,,,500,,,,,,,,,,,,,,,,,
TASK,T003_R1,Implement reporting service,,PR003,T003_S1,,,,,2024-05-25,,COMPLETED,,8,111,0.24,900,false,,,,,,,,,,,,,,,,
TASK,T003_R2,Validate notification system,,PR003,T003_S2,,,,,2024-05-17,,IN_PROGRESS,,12,187,0.27,500,true,,,,,,,,,,,,,,,,
TASK,T003_R3,Implement payment module,,PR003,,,,,,2024-05-26,,COMPLETED,,7,63,0.48,900,false,,,,,,,,,,,,,,,,
TASK,T003_R4,Deploy analytics pipeline,,PR003,T003_S2,,,,,2024-05-03,,COMPLETED,,6,85,0.71,300,true,,,,,,,,,,,,,,,,
TASK,T003_R5,Document auth flow,,PR003,,,,,,2024-05-27,,COMPLETED,,21,230,0.49,100,false,,,,,,,,,,,,,,,,
TASK,T003_R6,Design caching layer,,PR003,T003_S1,,,,,2024-05-06,,ON_HOLD,,28,130,0.82,700,true,,,,,,,,,,,,,,,,
TASK,T003_R7,Test auth flow,,PR003,T003_S1,,,,,2024-06-02,,NOT_STARTED,,26,152,0.3,300,false,,,,,,,,,,,,,,,,
TASK,T003_R8,Audit CI/CD pipeline,,PR003,T003_S1,,,,,2024-05-17,,ON_HOLD,,15,240,0.3,900,false,,,,,,,,,,,,,,,,
MILESTONE,T003_M1,Kickoff Complete,,PR003,,,,,,,,,,0,,,500,true,,,,,,,,,,,,,,,,
MILESTONE,T003_M2,Design Approved,,PR003,,,,,,,,,,0,,,500,true,,,,,,,,,,,,,,,,
DEPENDENCY,D003_1,,,,,T003_R4,T003_R5,,,,,,,,,,,,FS,1,,,,,,,,,,,,,,
DEPENDENCY,D003_2,,,,,T003_R4,T003_R3,,,,,,,,,,,,FS,1,,,,,,,,,,,,,,
DEPENDENCY,D003_3,,,,,T003_R1,T003_R7,,,,,,,,,,,,SF,5,,,,,,,,,,,,,,
DEPENDENCY,D003_4,,,,,T003_M2,T003_R8,,,,,,,,,,,,FF,0,,,,,,,,,,,,,,
DEPENDENCY,D003_5,,,,,T003_R4,T003_R5,,,,,,,,,,,,FF,5,,,,,,,,,,,,,,
ASSIGNMENT,A003_1,,,,,,,T003_R8,RH010,,,,,,41,,,,,,,,,,,,,,,0.77,50,3977.11,,
ASSIGNMENT,A003_2,,,,,,,T003_M2,RH026,,,,,,77,,,,,,,,,,,,,,,0.57,14,3273.41,,
ASSIGNMENT,A003_3,,,,,,,T003_R5,RH019,,,,,,29,,,,,,,,,,,,,,,0.3,50,1607.3,,
ASSIGNMENT,A003_4,,,,,,,T003_M2,RH037,,,,,,67,,,,,,,,,,,,,,,0.58,44,1590.05,,
ASSIGNMENT,A003_5,,,,,,,T003_R7,RH035,,,,,,71,,,,,,,,,,,,,,,0.63,28,494.17,,
ASSIGNMENT,A003_6,,,,,,,T003_R1,RC001,,,,,,40,,,,,,,,,,,,,,,0.8,1,547.5,,
ASSIGNMENT,A003_7,,,,,,,T003_M2,RH003,,,,,,42,,,,,,,,,,,,,,,1.0,36,297.14,,
ASSIGNMENT,A003_8,,,,,,,T003_R3,RC006,,,,,,64,,,,,,,,,,,,,,,0.64,58,1462.97,,
ASSIGNMENT,A003_9,,,,,,,T003_M2,RC001,,,,,,70,,,,,,,,,,,,,,,0.73,5,2403.05,,
ASSIGNMENT,A003_10,,,,,,,T003_R7,RM003,,,,,,21,,,,,,,,,,,,,,,0.49,54,888.04,,
ASSIGNMENT,A003_11,,,,,,,T003_R7,RC009,,,,,,59,,,,,,,,,,,,,,,0.47,52,3826.45,,
ASSIGNMENT,A003_12,,,,,,,T003_R1,RC004,,,,,,40,,,,,,,,,,,,,,,0.32,20,668.02,,
ASSIGNMENT,A003_13,,,,,,,T003_R7,RH001,,,,,,77,,,,,,,,,,,,,,,0.74,29,2124.91,,
ASSIGNMENT,A003_14,,,,,,,T003_R4,RM007,,,,,,71,,,,,,,,,,,,,,,0.72,40,2266.0,,
PROJECT,PR004,Marketing Site Redesign v4,Description of Marketing Site Redesign v4,,,,,,,2024-01-27,2024-07-09,IN_PROGRESS,,,,,,,,,,,,,,,,,,,,,,
CALENDAR,CAL004,,,PR004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MON;TUE;WED;THU;FRI,09:00-18:00
BASELINE,BL004_1,,,PR004,,,,,,,,,2024-03-02,,,,,,,,,,,,,,,,,,,,,
BASELINE,BL004_2,,,PR004,,,,,,,,,2024-03-18,,,,,,,,,,,,,,,,,,,,,
SUMMARY_TASK,T004_S1,Phase 1,,PR004,,,,,,,,IN_PROGRESS,,0,,,500,,,,,,,,,,,,,,,,,
SUMMARY_TASK,T004_S2,Phase 2,,PR004,,,,,,,,IN_PROGRESS,,0,,,500,,,,,,,,,,,,,,,,,
TASK,T004_R1,Configure search index,,PR004,T004_S1,,,,,2024-02-05,,ON_HOLD,,23,48,0.55,900,true,,,,,,,,,,,,,,,,
TASK,T004_R2,Optimize database schema,,PR004,T004_S1,,,,,2024-01-31,,COMPLETED,,21,221,0.5,500,false,,,,,,,,,,,,,,,,
TASK,T004_R3,Deploy monitoring,,PR004,T004_S2,,,,,2024-02-08,,IN_PROGRESS,,18,45,0.19,900,false,,,,,,,,,,,,,,,,
TASK,T004_R4,Audit deployment scripts,,PR004,,,,,,2024-02-12,,COMPLETED,,11,209,0.27,100,false,,,,,,,,,,,,,,,,
TASK,T004_R5,Architect auth flow,,PR004,T004_S2,,,,,2024-02-11,,ON_HOLD,,15,145,0.35,900,false,,,,,,,,,,,,,,,,
TASK,T004_R6,Validate search index,,PR004,T004_S1,,,,,2024-02-03,,NOT_STARTED,,19,106,0.86,700,false,,,,,,,,,,,,,,,,
TASK,T004_R7,Refactor auth flow,,PR004,T004_S2,,,,,2024-01-31,,COMPLETED,,16,17,0.5,900,false,,,,,,,,,,,,,,,,
TASK,T004_R8,Implement monitoring,,PR004,T004_S2,,,,,2024-01-31,,NOT_STARTED,,1,192,0.41,300,false,,,,,,,,,,,,,,,,
MILESTONE,T004_M1,GA Launch,,PR004,,,,,,,,,,0,,,500,true,,,,,,,,,,,,,,,,
MILESTONE,T004_M2,Phase 1 Closed,,PR004,,,,,,,,,,0,,,500,true,,,,,,,,,,,,,,,,
DEPENDENCY,D004_1,,,,,T004_R7,T004_R2,,,,,,,,,,,,FF,5,,,,,,,,,,,,,,
